year,tourney key,round,premio €,torneo_id
2000,us open - 2000,R64,84349.24630259105,
2001,us open - 2001,R64,86491.71715867687,
2002,us open - 2002,R64,88688.60677450727,
2003,us open - 2003,R64,90941.29738657975,
2004,us open - 2004,R64,93251.2063401989,
2005,us open - 2005,R64,95619.78698123994,
2006,us open - 2006,R64,98048.52957056346,
2007,us open - 2007,R64,100538.96222165578,
2008,us open - 2008,R64,103092.65186208584,
2009,us open - 2009,R64,105711.20521938283,
2010,us open - 2010,R64,108396.26983195516,
2011,us open - 2011,R64,111149.53508568683,
2012,us open - 2012,R64,113972.73327686329,
2013,us open - 2013,R64,116867.64070209564,
2014,us open - 2014,R64,119836.07877592888,
2015,us open - 2015,R64,122879.91517683746,
2016,us open - 2016,R64,126001.06502232916,
2017,us open - 2017,R64,129201.49207389633,
2018,us open - 2018,R64,132483.2099725733,
2019,us open - 2019,R64,135848.2835058767,
2020,us open - 2020,R64,139298.82990692597,
2021,us open - 2021,R64,142837.0201865619,
2022,us open - 2022,R64,146465.0804993006,
2023,us open - 2023,R64,150185.2935439828,
2024,us open - 2024,R64,154000.0,
2000,roland garros - 2000,R64,64083.51829482567,
2001,roland garros - 2001,R64,65711.23965951425,
2002,roland garros - 2002,R64,67380.30514686591,
2003,roland garros - 2003,R64,69091.76489759631,
2004,roland garros - 2004,R64,70846.69572599526,
2005,roland garros - 2005,R64,72646.20179743554,
2006,roland garros - 2006,R64,74491.41532309042,
2007,roland garros - 2007,R64,76383.49727229693,
2008,roland garros - 2008,R64,78323.63810301328,
2009,roland garros - 2009,R64,80313.05851082981,
2010,roland garros - 2010,R64,82353.0101970049,
2011,roland garros - 2011,R64,84444.77665600882,
2012,roland garros - 2012,R64,86589.67398307147,
2013,roland garros - 2013,R64,88789.05170224149,
2014,roland garros - 2014,R64,91044.29361547843,
2015,roland garros - 2015,R64,93356.81867331157,
2016,roland garros - 2016,R64,95728.08186761371,
2017,roland garros - 2017,R64,98159.5751470511,
2018,roland garros - 2018,R64,100652.82835578622,
2019,roland garros - 2019,R64,103209.4101960232,
2020,roland garros - 2020,R64,105830.92921500218,
2021,roland garros - 2021,R64,108519.03481706326,
2022,roland garros - 2022,R64,111275.41830141668,
2023,roland garros - 2023,R64,114101.81392627266,
2024,roland garros - 2024,R64,117000.0,
2000,wimbledon - 2000,R64,54224.5154802371,
2001,wimbledon - 2001,R64,55601.81817343513,
2002,wimbledon - 2002,R64,57014.104355040385,
2003,wimbledon - 2003,R64,58462.26260565842,
2004,wimbledon - 2004,R64,59947.20407584215,
2005,wimbledon - 2005,R64,61469.86305936854,
2006,wimbledon - 2006,R64,63031.19758107651,
2007,wimbledon - 2007,R64,64632.18999963586,
2008,wimbledon - 2008,R64,66273.84762562661,
2009,wimbledon - 2009,R64,67957.20335531754,
2010,wimbledon - 2010,R64,69683.31632054261,
2011,wimbledon - 2011,R64,71453.27255508439,
2012,wimbledon - 2012,R64,73268.18567798355,
2013,wimbledon - 2013,R64,75129.19759420434,
2014,wimbledon - 2014,R64,77037.47921309713,
2015,wimbledon - 2015,R64,78994.23118510979,
2016,wimbledon - 2016,R64,81000.6846572116,
2017,wimbledon - 2017,R64,83058.10204750478,
2018,wimbledon - 2018,R64,85167.77783951141,
2019,wimbledon - 2019,R64,87331.03939663501,
2020,wimbledon - 2020,R64,89549.24779730954,
2021,wimbledon - 2021,R64,91823.79869136123,
2022,wimbledon - 2022,R64,94156.12317812181,
2023,wimbledon - 2023,R64,96547.68870684611,
2024,wimbledon - 2024,R64,99000.0,
2000,australian open - 2000,R64,109544.47571765071,
2001,australian open - 2001,R64,112326.90540087906,
2002,australian open - 2002,R64,115180.00879806139,
2003,australian open - 2003,R64,118105.58102153215,
2004,australian open - 2004,R64,121105.46277947909,
2005,australian open - 2005,R64,124181.54153407786,
2006,australian open - 2006,R64,127335.75268904345,
2007,australian open - 2007,R64,130570.08080734518,
2008,australian open - 2008,R64,133886.56085985174,
2009,australian open - 2009,R64,137287.279505692,
2010,australian open - 2010,R64,140774.37640513657,
2011,australian open - 2011,R64,144350.04556582705,
2012,australian open - 2012,R64,148016.53672319907,
2013,australian open - 2013,R64,151776.15675596835,
2014,australian open - 2014,R64,155631.27113756997,
2015,australian open - 2015,R64,159584.30542446423,
2016,australian open - 2016,R64,163637.74678224567,
2017,australian open - 2017,R64,167794.14555051472,
2018,australian open - 2018,R64,172056.11684749782,
2019,australian open - 2019,R64,176426.34221542426,
2020,australian open - 2020,R64,180907.57130769605,
2021,australian open - 2021,R64,185502.62361891154,
2022,australian open - 2022,R64,190214.39025883193,
2023,australian open - 2023,R64,195045.83577140627,
2024,australian open - 2024,R64,200000.0,
2000,us open - 2000,R128,60249.46164470789,
2001,us open - 2001,R128,61779.79797048348,
2002,us open - 2002,R128,63349.00483893376,
2003,us open - 2003,R128,64958.06956184268,
2004,us open - 2004,R128,66608.0045287135,
2005,us open - 2005,R128,68299.84784374281,
2006,us open - 2006,R128,70034.6639789739,
2007,us open - 2007,R128,71813.54444403984,
2008,us open - 2008,R128,73637.60847291847,
2009,us open - 2009,R128,75508.0037281306,
2010,us open - 2010,R128,77425.90702282511,
2011,us open - 2011,R128,79392.52506120488,
2012,us open - 2012,R128,81409.0951977595,
2013,us open - 2013,R128,83476.8862157826,
2014,us open - 2014,R128,85597.19912566348,
2015,us open - 2015,R128,87771.36798345533,
2016,us open - 2016,R128,90000.76073023511,
2017,us open - 2017,R128,92286.7800527831,
2018,us open - 2018,R128,94630.8642661238,
2019,us open - 2019,R128,97034.48821848334,
2020,us open - 2020,R128,99499.16421923283,
2021,us open - 2021,R128,102026.44299040135,
2022,us open - 2022,R128,104617.91464235756,
2023,us open - 2023,R128,107275.20967427344,
2024,us open - 2024,R128,110000.0,
2000,roland garros - 2000,R128,42722.34552988378,
2001,roland garros - 2001,R128,43807.49310634283,
2002,roland garros - 2002,R128,44920.20343124394,
2003,roland garros - 2003,R128,46061.17659839754,
2004,roland garros - 2004,R128,47231.13048399684,
2005,roland garros - 2005,R128,48430.80119829036,
2006,roland garros - 2006,R128,49660.943548726944,
2007,roland garros - 2007,R128,50922.331514864614,
2008,roland garros - 2008,R128,52215.758735342184,
2009,roland garros - 2009,R128,53542.03900721988,
2010,roland garros - 2010,R128,54902.00679800326,
2011,roland garros - 2011,R128,56296.51777067255,
2012,roland garros - 2012,R128,57726.44932204764,
2013,roland garros - 2013,R128,59192.70113482766,
2014,roland garros - 2014,R128,60696.195743652286,
2015,roland garros - 2015,R128,62237.87911554105,
2016,roland garros - 2016,R128,63818.72124507581,
2017,roland garros - 2017,R128,65439.71676470074,
2018,roland garros - 2018,R128,67101.88557052414,
2019,roland garros - 2019,R128,68806.27346401547,
2020,roland garros - 2020,R128,70553.95281000146,
2021,roland garros - 2021,R128,72346.0232113755,
2022,roland garros - 2022,R128,74183.61220094445,
2023,roland garros - 2023,R128,76067.87595084844,
2024,roland garros - 2024,R128,78000.0,
2000,wimbledon - 2000,R128,36149.676986824736,
2001,wimbledon - 2001,R128,37067.878782290085,
2002,wimbledon - 2002,R128,38009.40290336026,
2003,wimbledon - 2003,R128,38974.84173710561,
2004,wimbledon - 2004,R128,39964.8027172281,
2005,wimbledon - 2005,R128,40979.90870624569,
2006,wimbledon - 2006,R128,42020.79838738434,
2007,wimbledon - 2007,R128,43088.12666642391,
2008,wimbledon - 2008,R128,44182.56508375108,
2009,wimbledon - 2009,R128,45304.80223687836,
2010,wimbledon - 2010,R128,46455.544213695066,
2011,wimbledon - 2011,R128,47635.51503672293,
2012,wimbledon - 2012,R128,48845.45711865569,
2013,wimbledon - 2013,R128,50086.13172946956,
2014,wimbledon - 2014,R128,51358.319475398086,
2015,wimbledon - 2015,R128,52662.8207900732,
2016,wimbledon - 2016,R128,54000.45643814107,
2017,wimbledon - 2017,R128,55372.068031669856,
2018,wimbledon - 2018,R128,56778.518559674274,
2019,wimbledon - 2019,R128,58220.69293109001,
2020,wimbledon - 2020,R128,59699.49853153969,
2021,wimbledon - 2021,R128,61215.86579424081,
2022,wimbledon - 2022,R128,62770.74878541454,
2023,wimbledon - 2023,R128,64365.125804564064,
2024,wimbledon - 2024,R128,66000.0,
2000,australian open - 2000,R128,72299.35397364947,
2001,australian open - 2001,R128,74135.75756458017,
2002,australian open - 2002,R128,76018.80580672051,
2003,australian open - 2003,R128,77949.68347421123,
2004,australian open - 2004,R128,79929.6054344562,
2005,australian open - 2005,R128,81959.81741249138,
2006,australian open - 2006,R128,84041.59677476868,
2007,australian open - 2007,R128,86176.25333284782,
2008,australian open - 2008,R128,88365.13016750215,
2009,australian open - 2009,R128,90609.60447375671,
2010,australian open - 2010,R128,92911.08842739013,
2011,australian open - 2011,R128,95271.03007344586,
2012,australian open - 2012,R128,97690.91423731139,
2013,australian open - 2013,R128,100172.26345893912,
2014,australian open - 2014,R128,102716.63895079617,
2015,australian open - 2015,R128,105325.6415801464,
2016,australian open - 2016,R128,108000.91287628213,
2017,australian open - 2017,R128,110744.13606333971,
2018,australian open - 2018,R128,113557.03711934855,
2019,australian open - 2019,R128,116441.38586218002,
2020,australian open - 2020,R128,119398.99706307938,
2021,australian open - 2021,R128,122431.73158848162,
2022,australian open - 2022,R128,125541.49757082907,
2023,australian open - 2023,R128,128730.25160912813,
2024,australian open - 2024,R128,132000.0,
2000,us open - 2000,Q3,31329.720055248104,
2001,us open - 2001,Q3,32125.494944651407,
2002,us open - 2002,Q3,32941.48251624556,
2003,us open - 2003,Q3,33778.1961721582,
2004,us open - 2004,Q3,34636.16235493102,
2005,us open - 2005,Q3,35515.92087874626,
2006,us open - 2006,Q3,36418.02526906643,
2007,us open - 2007,Q3,37343.04311090072,
2008,us open - 2008,Q3,38291.5564059176,
2009,us open - 2009,Q3,39264.16193862791,
2010,us open - 2010,Q3,40261.47165186906,
2011,us open - 2011,Q3,41284.113031826535,
2012,us open - 2012,Q3,42332.72950283494,
2013,us open - 2013,Q3,43407.98083220695,
2014,us open - 2014,Q3,44510.54354534501,
2015,us open - 2015,Q3,45641.11135139677,
2016,us open - 2016,Q3,46800.39557972226,
2017,us open - 2017,Q3,47989.12562744721,
2018,us open - 2018,Q3,49208.04941838437,
2019,us open - 2019,Q3,50457.933873611335,
2020,us open - 2020,Q3,51739.56539400107,
2021,us open - 2021,Q3,53053.750355008706,
2022,us open - 2022,Q3,54401.31561402593,
2023,us open - 2023,Q3,55783.10903062219,
2024,us open - 2024,Q3,57200.0,
2000,roland garros - 2000,Q3,23552.062279294903,
2001,roland garros - 2001,Q3,24150.284661188995,
2002,roland garros - 2002,Q3,24763.701891583198,
2003,roland garros - 2003,Q3,25392.699919629413,
2004,roland garros - 2004,Q3,26037.674497588003,
2005,roland garros - 2005,Q3,26699.03142982674,
2006,roland garros - 2006,Q3,27377.186828144342,
2007,roland garros - 2007,Q3,28072.56737357921,
2008,roland garros - 2008,Q3,28785.610584868125,
2009,roland garros - 2009,Q3,29516.765093723778,
2010,roland garros - 2010,Q3,30266.49092710436,
2011,roland garros - 2011,Q3,31035.259796652816,
2012,roland garros - 2012,Q3,31823.5553954878,
2013,roland garros - 2013,Q3,32631.873702533198,
2014,roland garros - 2014,Q3,33460.72329457754,
2015,roland garros - 2015,Q3,34310.62566625981,
2016,roland garros - 2016,Q3,35182.11555818282,
2017,roland garros - 2017,Q3,36075.74129336066,
2018,roland garros - 2018,Q3,36992.06512221203,
2019,roland garros - 2019,Q3,37931.66357631622,
2020,roland garros - 2020,Q3,38895.12783115465,
2021,roland garros - 2021,Q3,39883.06407806598,
2022,roland garros - 2022,Q3,40896.093905648864,
2023,roland garros - 2023,Q3,41934.85469085235,
2024,roland garros - 2024,Q3,43000.0,
2000,wimbledon - 2000,Q3,22730.47871141252,
2001,wimbledon - 2001,Q3,23307.832870682403,
2002,wimbledon - 2002,Q3,23899.85182559774,
2003,wimbledon - 2003,Q3,24506.908061967923,
2004,wimbledon - 2004,Q3,25129.38352674191,
2005,wimbledon - 2005,Q3,25767.669868321154,
2006,wimbledon - 2006,Q3,26422.168682976517,
2007,wimbledon - 2007,Q3,27093.291767524122,
2008,wimbledon - 2008,Q3,27781.461378419237,
2009,wimbledon - 2009,Q3,28487.110497431087,
2010,wimbledon - 2010,Q3,29210.68310406584,
2011,wimbledon - 2011,Q3,29952.63445490911,
2012,wimbledon - 2012,Q3,30713.43137006381,
2013,wimbledon - 2013,Q3,31493.552526863434,
2014,wimbledon - 2014,Q3,32293.488761045766,
2015,wimbledon - 2015,Q3,33113.74337557633,
2016,wimbledon - 2016,Q3,33954.83245731598,
2017,wimbledon - 2017,Q3,34817.2852017318,
2018,wimbledon - 2018,Q3,35701.644245855794,
2019,wimbledon - 2019,Q3,36608.46600970053,
2020,wimbledon - 2020,Q3,37538.32104634693,
2021,wimbledon - 2021,Q3,38491.79440092415,
2022,wimbledon - 2022,Q3,39469.48597870763,
2023,wimbledon - 2023,Q3,40472.0109225668,
2024,wimbledon - 2024,Q3,41500.0,
2000,australian open - 2000,Q3,39436.01125835426,
2001,australian open - 2001,Q3,40437.68594431646,
2002,australian open - 2002,Q3,41464.8031673021,
2003,australian open - 2003,Q3,42518.009167751574,
2004,australian open - 2004,Q3,43597.96660061247,
2005,australian open - 2005,Q3,44705.354952268026,
2006,australian open - 2006,Q3,45840.87096805564,
2007,australian open - 2007,Q3,47005.229090644265,
2008,australian open - 2008,Q3,48199.16190954663,
2009,australian open - 2009,Q3,49423.42062204912,
2010,australian open - 2010,Q3,50678.77550584917,
2011,australian open - 2011,Q3,51966.01640369774,
2012,australian open - 2012,Q3,53285.95322035167,
2013,australian open - 2013,Q3,54639.41643214861,
2014,australian open - 2014,Q3,56027.257609525186,
2015,australian open - 2015,Q3,57450.349952807126,
2016,australian open - 2016,Q3,58909.58884160844,
2017,australian open - 2017,Q3,60405.89239818529,
2018,australian open - 2018,Q3,61940.20206509921,
2019,australian open - 2019,Q3,63513.483197552734,
2020,australian open - 2020,Q3,65126.725670770575,
2021,australian open - 2021,Q3,66780.94450280815,
2022,australian open - 2022,Q3,68477.18049317949,
2023,australian open - 2023,Q3,70216.50087770626,
2024,australian open - 2024,Q3,72000.0,
2000,us open - 2000,Q2,22894.795424989,
2001,us open - 2001,Q2,23476.323228783724,
2002,us open - 2002,Q2,24072.621838794832,
2003,us open - 2003,Q2,24684.066433500222,
2004,us open - 2004,Q2,25311.04172091113,
2005,us open - 2005,Q2,25953.94218062227,
2006,us open - 2006,Q2,26613.172312010083,
2007,us open - 2007,Q2,27289.14688873514,
2008,us open - 2008,Q2,27982.291219709015,
2009,us open - 2009,Q2,28693.041416689626,
2010,us open - 2010,Q2,29421.844668673544,
2011,us open - 2011,Q2,30169.159523257855,
2012,us open - 2012,Q2,30935.456175148607,
2013,us open - 2013,Q2,31721.216761997388,
2014,us open - 2014,Q2,32526.935667752125,
2015,us open - 2015,Q2,33353.119833713026,
2016,us open - 2016,Q2,34200.289077489346,
2017,us open - 2017,Q2,35068.976420057574,
2018,us open - 2018,Q2,35959.728421127045,
2019,us open - 2019,Q2,36873.10552302367,
2020,us open - 2020,Q2,37809.68240330847,
2021,us open - 2021,Q2,38770.04833635251,
2022,us open - 2022,Q2,39754.80756409587,
2023,us open - 2023,Q2,40764.57967622391,
2024,us open - 2024,Q2,41800.0,
2000,roland garros - 2000,Q2,16157.81016835348,
2001,roland garros - 2001,Q2,16568.21854662966,
2002,roland garros - 2002,Q2,16989.051297714053,
2003,roland garros - 2003,Q2,17420.573200675994,
2004,roland garros - 2004,Q2,17863.055759973166,
2005,roland garros - 2005,Q2,18316.777376276485,
2006,roland garros - 2006,Q2,18782.02352163391,
2007,roland garros - 2007,Q2,19259.086919083413,
2008,roland garros - 2008,Q2,19748.267726828133,
2009,roland garros - 2009,Q2,20249.87372708957,
2010,roland garros - 2010,Q2,20764.220519757644,
2011,roland garros - 2011,Q2,21291.63172095949,
2012,roland garros - 2012,Q2,21832.439166671866,
2013,roland garros - 2013,Q2,22386.983121505335,
2014,roland garros - 2014,Q2,22955.61249279157,
2015,roland garros - 2015,Q2,23538.685050108474,
2016,roland garros - 2016,Q2,24136.567650381236,
2017,roland garros - 2017,Q2,24749.63646870092,
2018,roland garros - 2018,Q2,25378.277235005928,
2019,roland garros - 2019,Q2,26022.885476775078,
2020,roland garros - 2020,Q2,26683.866767885167,
2021,roland garros - 2021,Q2,27361.636983789453,
2022,roland garros - 2022,Q2,28056.62256317771,
2023,roland garros - 2023,Q2,28769.260776282423,
2024,roland garros - 2024,Q2,29500.0,
2000,wimbledon - 2000,Q2,14240.781843294593,
2001,wimbledon - 2001,Q2,14602.497702114277,
2002,wimbledon - 2002,Q2,14973.40114374798,
2003,wimbledon - 2003,Q2,15353.72553279918,
2004,wimbledon - 2004,Q2,15743.710161332281,
2005,wimbledon - 2005,Q2,16143.60039943012,
2006,wimbledon - 2006,Q2,16553.64784957565,
2007,wimbledon - 2007,Q2,16974.11050495487,
2008,wimbledon - 2008,Q2,17405.252911780728,
2009,wimbledon - 2009,Q2,17847.34633573996,
2010,wimbledon - 2010,Q2,18300.668932667755,
2011,wimbledon - 2011,Q2,18765.505923557517,
2012,wimbledon - 2012,Q2,19242.14977401588,
2013,wimbledon - 2013,Q2,19730.90037827589,
2014,wimbledon - 2014,Q2,20232.065247884097,
2015,wimbledon - 2015,Q2,20745.95970518035,
2016,wimbledon - 2016,Q2,21272.907081691937,
2017,wimbledon - 2017,Q2,21813.238921566914,
2018,wimbledon - 2018,Q2,22367.295190174715,
2019,wimbledon - 2019,Q2,22935.424488005152,
2020,wimbledon - 2020,Q2,23517.984270000485,
2021,wimbledon - 2021,Q2,24115.3410704585,
2022,wimbledon - 2022,Q2,24727.87073364815,
2023,wimbledon - 2023,Q2,25355.958650282813,
2024,wimbledon - 2024,Q2,26000.0,
2000,australian open - 2000,Q2,26838.396550824426,
2001,australian open - 2001,Q2,27520.091823215367,
2002,australian open - 2002,Q2,28219.10215552504,
2003,australian open - 2003,Q2,28935.867350275377,
2004,australian open - 2004,Q2,29670.838380972375,
2005,australian open - 2005,Q2,30424.477675849073,
2006,australian open - 2006,Q2,31197.259408815647,
2007,australian open - 2007,Q2,31989.66979779957,
2008,australian open - 2008,Q2,32802.20741066368,
2009,australian open - 2009,Q2,33635.38347889454,
2010,australian open - 2010,Q2,34489.72221925846,
2011,australian open - 2011,Q2,35365.76116362763,
2012,australian open - 2012,Q2,36264.05149718378,
2013,australian open - 2013,Q2,37185.15840521225,
2014,australian open - 2014,Q2,38129.66142870464,
2015,australian open - 2015,Q2,39098.15482899374,
2016,australian open - 2016,Q2,40091.24796165019,
2017,australian open - 2017,Q2,41109.565659876105,
2018,australian open - 2018,Q2,42153.74862763696,
2019,australian open - 2019,Q2,43224.453842778945,
2020,australian open - 2020,Q2,44322.35497038553,
2021,australian open - 2021,Q2,45448.14278663333,
2022,australian open - 2022,Q2,46602.525613413825,
2023,australian open - 2023,Q2,47786.22976399453,
2024,australian open - 2024,Q2,49000.0,
2000,us open - 2000,Q1,15062.365411176972,
2001,us open - 2001,Q1,15444.94949262087,
2002,us open - 2002,Q1,15837.25120973344,
2003,us open - 2003,Q1,16239.51739046067,
2004,us open - 2004,Q1,16652.001132178375,
2005,us open - 2005,Q1,17074.961960935703,
2006,us open - 2006,Q1,17508.665994743475,
2007,us open - 2007,Q1,17953.38611100996,
2008,us open - 2008,Q1,18409.402118229616,
2009,us open - 2009,Q1,18877.00093203265,
2010,us open - 2010,Q1,19356.476755706277,
2011,us open - 2011,Q1,19848.13126530122,
2012,us open - 2012,Q1,20352.273799439874,
2013,us open - 2013,Q1,20869.22155394565,
2014,us open - 2014,Q1,21399.29978141587,
2015,us open - 2015,Q1,21942.841995863833,
2016,us open - 2016,Q1,22500.190182558777,
2017,us open - 2017,Q1,23071.695013195775,
2018,us open - 2018,Q1,23657.71606653095,
2019,us open - 2019,Q1,24258.622054620835,
2020,us open - 2020,Q1,24874.791054808207,
2021,us open - 2021,Q1,25506.610747600338,
2022,us open - 2022,Q1,26154.47866058939,
2023,us open - 2023,Q1,26818.80241856836,
2024,us open - 2024,Q1,27500.0,
2000,roland garros - 2000,Q1,11502.169950353325,
2001,roland garros - 2001,Q1,11794.3250670923,
2002,roland garros - 2002,Q1,12093.900923796446,
2003,roland garros - 2003,Q1,12401.086007260876,
2004,roland garros - 2004,Q1,12716.073591845305,
2005,roland garros - 2005,Q1,13039.061861078175,
2006,roland garros - 2006,Q1,13370.254032349563,
2007,roland garros - 2007,Q1,13709.858484771243,
2008,roland garros - 2008,Q1,14058.088890284433,
2009,roland garros - 2009,Q1,14415.16434809766,
2010,roland garros - 2010,Q1,14781.30952253934,
2011,roland garros - 2011,Q1,15156.75478441184,
2012,roland garros - 2012,Q1,15541.736355935904,
2013,roland garros - 2013,Q1,15936.496459376678,
2014,roland garros - 2014,Q1,16341.283469444847,
2015,roland garros - 2015,Q1,16756.352069568744,
2016,roland garros - 2016,Q1,17181.963412135796,
2017,roland garros - 2017,Q1,17618.385282804044,
2018,roland garros - 2018,Q1,18065.89226898727,
2019,roland garros - 2019,Q1,18524.765932619546,
2020,roland garros - 2020,Q1,18995.294987308083,
2021,roland garros - 2021,Q1,19477.775479985714,
2022,roland garros - 2022,Q1,19972.510977177353,
2023,roland garros - 2023,Q1,20479.812755997656,
2024,roland garros - 2024,Q1,21000.0,
2000,wimbledon - 2000,Q1,8489.69686811793,
2001,wimbledon - 2001,Q1,8705.335168568126,
2002,wimbledon - 2002,Q1,8926.450681849758,
2003,wimbledon - 2003,Q1,9153.182529168742,
2004,wimbledon - 2004,Q1,9385.67336540963,
2005,wimbledon - 2005,Q1,9624.069468891033,
2006,wimbledon - 2006,Q1,9868.520833400868,
2007,wimbledon - 2007,Q1,10119.181262569251,
2008,wimbledon - 2008,Q1,10376.20846663851,
2009,wimbledon - 2009,Q1,10639.76416169113,
2010,wimbledon - 2010,Q1,10910.014171398085,
2011,wimbledon - 2011,Q1,11187.128531351596,
2012,wimbledon - 2012,Q1,11471.28159604793,
2013,wimbledon - 2013,Q1,11762.652148587547,
2014,wimbledon - 2014,Q1,12061.423513161672,
2015,wimbledon - 2015,Q1,12367.783670395978,
2016,wimbledon - 2016,Q1,12681.92537562404,
2017,wimbledon - 2017,Q1,13004.04628016489,
2018,wimbledon - 2018,Q1,13334.34905568108,
2019,wimbledon - 2019,Q1,13673.04152169538,
2020,wimbledon - 2020,Q1,14020.336776346443,
2021,wimbledon - 2021,Q1,14376.453330465645,
2022,wimbledon - 2022,Q1,14741.615245059475,
2023,wimbledon - 2023,Q1,15116.052272283985,
2024,wimbledon - 2024,Q1,15500.0,
2000,australian open - 2000,Q1,19170.283250588873,
2001,australian open - 2001,Q1,19657.208445153836,
2002,australian open - 2002,Q1,20156.50153966074,
2003,australian open - 2003,Q1,20668.47667876813,
2004,australian open - 2004,Q1,21193.45598640884,
2005,australian open - 2005,Q1,21731.769768463626,
2006,australian open - 2006,Q1,22283.756720582605,
2007,australian open - 2007,Q1,22849.764141285406,
2008,australian open - 2008,Q1,23430.148150474055,
2009,australian open - 2009,Q1,24025.273913496098,
2010,australian open - 2010,Q1,24635.5158708989,
2011,australian open - 2011,Q1,25261.257974019733,
2012,australian open - 2012,Q1,25902.89392655984,
2013,australian open - 2013,Q1,26560.827432294464,
2014,australian open - 2014,Q1,27235.472449074743,
2015,australian open - 2015,Q1,27927.25344928124,
2016,australian open - 2016,Q1,28636.60568689299,
2017,australian open - 2017,Q1,29363.975471340076,
2018,australian open - 2018,Q1,30109.820448312115,
2019,australian open - 2019,Q1,30874.609887699244,
2020,australian open - 2020,Q1,31658.82497884681,
2021,australian open - 2021,Q1,32462.959133309523,
2022,australian open - 2022,Q1,33287.51829529559,
2023,australian open - 2023,Q1,34133.021259996094,
2024,australian open - 2024,Q1,35000.0,
